  39  47  87   7  85   4  79  38   0  60 2

  27  13  20  84  97  45  76  34  16  19 1

  45  14  86  50  94  44  37  69  53  72 1

  63  91  68  93  13  28  91  54  78  62 2

  66  10  95  16  99  74  81  60  91  28 2

  95   2  55  77  98  50  80  23  11  72 1

  25  46  83  91  55  32   3   6  52  97 1

  87  45  89  91  26  17  28  54   7  94 2

  10  33  71  42  50  38  32  37  93  26 2

  74  86  51  69  30  29  36  94  74  52 1

  62   7  92  23  38  74  90  56  51   7 1

  39  41  56  63   9  13  75  80  54  88 2

  90  97  35  36  15  43  68  41  41  46 2

  80  26  63  76  10  87   6  27  99  84 2

  19  35  17  23  15  96   7  53  48  78 2

  18  10  84  55  70   7  22  77  52  89 1

  82  83  51  32  28  17  87  99  96  88 1

  22  32  92  80  65  72  43  84  56  56 2

  24  12  79  99   3  74  68  53  25  46 2

   5  84   9  48  26  24  21   1  84  57 2

  10  99  44  94  35  14  82   4  49  55 1

  62   5  69  19  20  12  62  77  41  77 1

  70   6  61  59  27  74  97  41  75  71 2

  49  97  67  33  58  76  25  26  84  80 2

  55  67  62  28   4  57  43  88  13  16 2

  32  63  25  60  22  50  45  77  24  67 1

  78  46  65  20  44  70  18  38  74  60 1

  19  43  69  97  79  77  94 100  62  98 2

  30  87  18  40  27  82  47  27  84  21 1

   1  53  71  33  12  10  22  20  89  43 2

 100  10  72  67  56  59   7  38  13  19 2

  40  20  56  80  17   6  93   8   6   3 1

  22  25  55  25  36  78  77  36  56  99 2

  55   8  84  79  73  16  25  62  17  27 1

  97  88  66  48  52   2  58  20  70  97 1

  19  66  23  63  26  38  81  95  98  32 2

  90  90  84   6 100  95  74  71  41  83 1

  38   5  80  44  40  23  72  79  87   6 1

  91  88  95  22  78  23  70  44  52  22 2

  87  18   7  76  97  22  63  51  13  79 1

  41  46  98  30  83  52  47  50  95   4 2

  29  96  82  27  56   4  52  71  45  35 2

  73  51  45  27   4   4  14  65  41  74 2

  39  30  12   5  21  94  12  10  58  64 2

   6  87  49  64  51  34  24  42  17  37 2

  48  70  14  60  71  90  69  59  63  21 1

  27  89  82  22  11  15  52  32  35  70 2

  20   1  20  91  26  35  69  36  29  65 2

  55  42  56  65   2  66  81  97  33  21 1

  34  69  31  71 100  20  19  49  33  24 2

   9  85  94   7  55  78  55  66   2  57 1

  24  31  37  27  96  76  88  97  14  30 1

  62  92  15  21  64  45  59  43  44  89 2

  60  85  61  96  29  89  46  37  54  14 2

  94  79  74  90  91   5   2  46 100  74 1

  46  13  10  58  21  87  10  75  70  28 2

