001 1 1 0
002 1 1 3
003 1 1 4
004 1 1 2
005 1 1 3
006 1 1 3
007 1 1 4
008 1 1 0
009 1 1 5
010 1 1 4
011 1 1 6
012 1 1 4
013 1 2 4
014 1 2 3
015 1 2 2
016 1 2 0
017 1 2 3
018 1 2 2
019 1 2 4
020 1 2 2
021 1 2 4
022 1 2 4
023 1 2 2
024 1 2 4
025 1 3 3
026 1 3 2
027 1 3 2
028 1 3 5
029 1 3 4
030 1 3 2
031 1 3 3
032 1 3 4
033 1 3 3
034 1 3 6
035 1 3 1
036 1 3 3
037 2 1 6
038 2 1 5
039 2 1 4
040 2 1 5
041 2 1 5
042 2 1 8
043 2 1 6
044 2 1 5
045 2 1 6
046 2 1 4
047 2 1 5
048 2 1 5
049 2 2 5
050 2 2 4
051 2 2 6
052 2 2 3
053 2 2 4
054 2 2 1
055 2 2 5
056 2 2 5
057 2 2 6
058 2 2 5
059 2 2 5
060 2 2 4
061 2 3 3
062 2 3 4
063 2 3 6
064 2 3 3
065 2 3 4
066 2 3 5
067 2 3 4
068 2 3 6
069 2 3 3
070 2 3 6
071 2 3 3
072 2 3 6
073 3 1 4
074 3 1 4
075 3 1 2
076 3 1 1
077 3 1 3
078 3 1 0
079 3 1 4
080 3 1 0
081 3 1 0
082 3 1 2
083 3 1 0
084 3 1 3
085 3 2 4
086 3 2 2
087 3 2 0
088 3 2 4
089 3 2 1
090 3 2 3
091 3 2 2
092 3 2 2
093 3 2 2
094 3 2 2
095 3 2 0
096 3 2 4
097 3 3 5
098 3 3 2
099 3 3 0
100 3 3 2
101 3 3 3
102 3 3 2
103 3 3 5
104 3 3 3
105 3 3 1
106 3 3 0
107 3 3 0
108 3 3 1
