105.00   1.00   33.00   3.00   2.00   .35   17.00   20.00
106.00   1.00   50.00   2.00   3.00   .38    7.00   15.00
107.00   1.00   91.00   3.00   2.00   .28   15.00    7.00
108.00   1.00   90.00   3.00   2.00   .20    2.00    2.00
109.00   1.00   70.00   3.00   3.00   .38   23.00   27.00
111.00   2.00   31.00   2.00   2.00   .00   19.00   10.00
112.00   1.00   91.00   2.00   3.00   .18    6.00   16.00
113.00   1.00   81.00   3.00   2.00   .00    3.00    9.00
114.00   2.00   15.00   1.00   2.00   .13   19.00   13.00
116.00   2.00    1.00   1.00   2.00   .88   15.00    7.00
117.00   1.00   93.00   3.00   2.00   .18    9.00   15.00
118.00   2.00   14.00   1.00   3.00   .15   23.00   18.00
120.00   1.00   91.00   2.00   2.00   .43   17.00   14.00
121.00   1.00   55.00   3.00   2.00   .69   20.00   14.00
122.00   1.00   70.00   2.00   3.00   .03    0.00    6.00
123.00   1.00   25.00   2.00   2.00   .45    4.00   10.00
125.00   1.00   91.00   2.00   2.00   .13    0.00    3.00
126.00   1.00   91.00   3.00   3.00   .23    4.00    6.00
127.00   1.00   91.00   3.00   2.00   .00    8.00    8.00
128.00   2.00   13.00   2.00   2.00   .65   16.00   14.00
129.00   1.00   50.00   2.00   2.00   .25   20.00   23.00
135.00   1.00   90.00   3.00   3.00   .03    5.00   12.00
138.00   1.00   70.00   3.00   3.00   .10    1.00    6.00
139.00   2.00   19.00   3.00   3.00   .10   11.00   12.00
149.00   2.00   50.00   3.00   2.00   .03    0.00    0.00
204.00   1.00   50.00   3.00   1.00   .13    0.00    1.00
205.00   1.00   91.00   3.00   3.00   .72   16.00   18.00
206.00   2.00   24.00   1.00   1.00   .10    5.00   21.00
207.00   1.00   80.00   3.00   3.00   .13    6.00    7.00
208.00   1.00   87.00   2.00   2.00   .18    9.00   20.00
209.00   1.00   70.00   2.00   2.00   .53   15.00   12.00
211.00   1.00   55.00   2.00   1.00   .33    8.00    5.00
212.00   1.00   56.00   3.00   1.00   .30    6.00   20.00
214.00   1.00   54.00   2.00   2.00   .15    0.00   16.00
215.00   1.00   71.00   3.00   3.00   .35   12.00   12.00
217.00   2.00   36.00   1.00   1.00   .10   12.00    8.00
218.00   1.00   91.00   2.00   2.00   .05   11.00   25.00
219.00   1.00   91.00   2.00   2.00  1.23   11.00   24.00
220.00   1.00   91.00   2.00   3.00   .08    8.00   11.00
221.00   1.00   91.00   2.00   2.00   .33    5.00   11.00
222.00   2.00   36.00   2.00   1.00   .18    5.00    3.00
223.00   1.00   70.00   2.00   3.00   .18   14.00    3.00
224.00   1.00   91.00   2.00   2.00   .43    2.00   10.00
225.00   1.00   55.00   2.00   1.00   .18    6.00   11.00
229.00   2.00   75.00   2.00   2.00   .40   30.00   25.00
232.00   1.00   91.00   3.00   2.00   .15    6.00    3.00
233.00   1.00   70.00   2.00   1.00   .00   11.00    8.00
234.00   1.00   54.00   3.00   2.00   .10    0.00    0.00
237.00   1.00   70.00   3.00   2.00   .18    5.00   25.00
241.00   1.00   19.00   2.00   3.00   .33   13.00    9.00
304.00   2.00   18.00   2.00   2.00   .26   25.00    6.00
305.00   1.00   88.00   3.00   2.00  1.35   17.00   29.00
306.00   1.00   70.00   2.00   3.00   .63   14.00   33.00
307.00   1.00   85.00   2.00   2.00  2.65   18.00   14.00
308.00   1.00   13.00   2.00   2.00   .23    5.00    5.00
309.00   2.00   13.00   2.00   2.00   .23    7.00   17.00
311.00   2.00    1.00   2.00   2.00   .50   20.00   14.00
315.00   1.00   19.00   2.00   3.00   .18    1.00   11.00
316.00   1.00   88.00   2.00   2.00   .38   12.00   11.00
318.00   1.00   88.00   3.00   2.00   .03    5.00    5.00
319.00   2.00   18.00   2.00   3.00   .30   15.00   16.00
321.00   2.00   15.00   2.00   2.00   .63   15.00   18.00
322.00   1.00   88.00   3.00   2.00   .40   18.00   15.00
325.00   2.00   18.00   2.00   3.00  1.00   28.00   18.00
329.00   1.00   88.00   3.00   2.00   .03    7.00   11.00
332.00   2.00    2.00   2.00   2.00   .05    8.00    9.00
