102500.0    1.00
72500.00    1.00
70500.00    2.00
68500.00    1.00
65500.00    1.00
61500.00    1.00
59500.00    1.00
58500.00    1.00
57500.00    3.00
56500.00    2.00
55500.00    9.00
54500.00    4.00
53500.00    8.00
52500.00   18.00
51500.00    8.00
50500.00   31.00
49500.00   26.00
48500.00   31.00
47500.00   45.00
46500.00   42.00
45500.00   48.00
44500.00   58.00
43500.00   48.00
42500.00   42.00
41500.00   26.00
40500.00   43.00
39500.00   24.00
38500.00   18.00
37500.00   18.00
36500.00    8.00
35500.00   11.00
34500.00    6.00
33500.00    3.00
