Alabama	4.405	 8	1029
Alaska	8.963	47	 934
Arizona	4.778	27	 944
Arkansas	4.459	 6	1005
Calif.	4.992	45	 902
Colorado	5.443	29	 980
Conn.		8.817	81	 908
Delaware	7.030	68	 897
Florida	5.718	48	 889
Georgia	5.193	65	 854
Hawaii	6.078	57	 889
Idaho		4.210	15	 979
Illinois	6.136	13	1048
Indiana	5.826	58	 882
Iowa		5.483	 5	1099
Kansas	5.817	 9	1060
Kentucky	5.217	11	 999
Louisiana	4.761	 9	1021
Maine		6.428	68	 896
Maryland	7.245	64	 909
Mass.		7.287	80	 907
Michigan	6.994	11	1033
Minn.		6.000	 9	1085
Miss.		4.080	 4	1036
Missouri	5.383	 9	1045
Montana	5.692	21	1009
Nebraska	5.935	 9	1050
Nevada	5.160	30	 917
New Hamp.	5.859	70	 935
New Jersey	9.774	70	 898
New Mexico	4.586	11	1015
New York	9.623	74	 892
N. Carolina	.	60	 865
North Dak.	4.775	 5	1107
Ohio		6.162	23	 975
Oklahoma	4.845	 9	1027
Oregon	6.436	51	 947
Penn		7.109	70	 880
Rhode Is.	7.469	70	 888
S. Carolina	.	58	 844
South Dak.	4.775	 5	1068
Tennessee	4.388	12	1040
Texas		5.222	47	 893
Utah		3.656	 4	1076
Vermont	6.750	68	 901
Virginia	5.327	65	 896
Wash		5.906	48	 937
West Vir.	6.107	17	 932
Wisconsin	6.930	 9	1073
Wyoming	6.160	10	1001
