258  275  -17    1
387  359   28    2
258  288  -30    3
179  186   -7    4
447  384   63    5
293  303  -10    6
282  327  -45    7
128  155  -27    8
237  247  -10    9
292  300   -8   10
001   65  -64   11
256  240   16   12
089  147  -58   13
299  343  -44   14
180  205  -25   15
193  217  -24   16
338  355  -17   17
279  291  -12   18
236  276  -40   19
110  160  -50   20
251  266  -15   21
358  329   29   22
410  377   33   23
350  380  -30   24
042   84  -42   25
202  213  -11   26
189  247  -58   27
245  310  -65   28
165  193  -28   29
510  394  116   30
330  374  -44   31
293  327  -34   32
202  214  -12   33
316  335  -19   34
154  178  -24   35
151  168  -17   36
202  228  -26   37
264  296  -32   38
107  145  -38   39
336  365  -29   40
279  299  -20   41
070  130  -60   42
169  144   25   43
228  228    0   44
297  309  -12   45
625  410  215   46
264  338  -74   47
254  260   -6   48
319  345  -26   49
309  340  -31   50
