1  1  1  0.986
1  1  1  1.108
1  1  1  1.080
1  1  1  0.952
1  1  1  0.998
1  1  1  1.017
1  1  1  1.080
1  1  2  1.026
1  1  2  1.045
1  1  2  0.996
1  1  2  0.923
1  1  2  1.000
1  1  2  1.003
1  1  2  0.934
1  1  3  1.009
1  1  3  1.065
1  1  3  1.053
1  2  1  1.108
1  2  1  0.985
1  2  1  1.001
1  2  1  0.924
1  2  1  0.968
1  2  2  1.048
1  2  2  1.027
1  2  3  1.004
1  2  3  0.936
1  2  3  1.040
2  1  1  0.983
2  1  1  0.947
2  1  1  0.932
2  1  1  1.078
2  1  1  0.914
2  1  1  0.955
2  1  2  0.962
2  1  2  0.944
2  1  2  0.941
2  1  2  0.831
2  1  3  0.936
2  1  3  0.995
2  1  3  0.872
2  2  1  0.997
2  2  1  0.983
2  2  1  1.105
2  2  1  1.116
2  2  1  0.997
2  2  1  0.960
2  2  2  1.045
2  2  2  1.095
2  2  2  0.944
2  2  2  1.039
2  2  2  0.927
2  2  2  0.988
2  2  2  1.015
2  2  3  1.045
2  2  3  0.864
2  2  3  0.982
2  2  3  0.915
2  2  3  1.047
