  36  55  55  45  16  61  59  48  46  57 1

  44  47  45  48  58  58  46  46  45  57 1

  50  45  49  53  51  48  51  46  34  55 2

  74  61  45  54  58  34  71  40  43  42 2

  50  55  45  46  63  42  59  50  49  46 1

  39  43  65  52  58  55  41  32  43  37 2

  51  64  47  51  39  52  69  27  52  65 2

  58  52  59  53  45  58  55  52  42  51 2

  57  40  63  57  49  41  34  63  28  51 1

  45  72  62  60  56  39  59  53  63  51 1

  58  42  49  48  48  62  46  50  49  52 2

  48  27  60  61  40  36  33  52  42  43 1

  46  36  44  33  58  51  54  60  60  35 1

  49  51  21  46  66  56  46  50  46  41 2

  57  54  53  67  53  73  50  50  53  45 1

  60  51  54  38  48  52  41  61  53  58 2

  38  38  56  49  54  55  50  48  56  63 2

  52  52  55  53  51  51  42  52  52  51 1

  40  55  37  49  44  38  53  65  49  60 2

  42  42  48  74  38  49  46  70  66  66 2

  67  42  44  35  37  46  34  57  43  52 1

  51  63  45  45  68  65  40  45  40  40 2

  35  56  54  45  46  50  32  51  63  53 1

  44  26  44  48  50  55  43  59  55  41 2

  60  56  60  62  42  57  51  56  54  23 2

  59  31  62  50  49  53  59  43  20  34 2

  49  41  42  43  46  50  62  73  42  54 2

  71  45  63  49  67  65  66  32  62  56 2

  50  32  53  38  39  43  59  59  54  50 2

  26  41  52  54  55  56  63  64  41  36 2

  50  45  58  44  43  57  44  57  60  47 2

  42  55  46  49  43  46  48  53  59  51 2

  43  42  54  53  45  46  45  47  61  59 2

  41  54  50  46  71  44  42  61  58  50 2

  48  59  64  27  46  54  61  72  57  55 2

  44  47  46  42  51  56  50  57  46  31 1

  47  32  54  49  74  56  60  47  43  46 2

  51  45  47  56  42  60  38  47  61  55 2

  46  53  43  56  49  59  45  51  33  46 2

  47  51  47  52  44  58  50  42  49  36 2

  50  40  46  65  49  50  55  31  68  52 1

  38  43  58  38  55  59  31  44  43  55 2

  55  50  49  60  43  45  34  52  49  53 1

  67  49  57  49  57  65  35  41  64  53 2

  40  64  30  58  58  57  58  35  56  56 2

  47  34  49  50  41  53  40  35  56  56 2

  52  52  30  62  66  66  60  47  53  42 1

  50  53  61  40  44  48  43  51  71  50 2

  39  42  59  52  47  60  57  45  50  46 1

  67  56  54  66  33  54  47  38  58  46 1

  53  53  54  58  72  71  58  45  48  31 2

  42  44  54  60  53  59  44  64  63  67 2

  38  53  49  63  43  50  42  50  56  53 2

  61  32  43  44  58  70  47  50  60  34 2

  38  59  47  40  37  70  39  71  65  55 2

  36  43  40  51  41  58  68  61  64  44 2

  57  45  51  59  48  73  42  39  57  50 1

  57  61  46  44  50  43  44  50  39  42 1

  48  53  70  51  54  42  26  56  61  40 2

  26  45  45  44  42  39  61  52  40  52 2

  38  47  50  43  48  37  57  60  51  53 1

  36  46  44  44  35  53  55  46  60  56 2

  64  36  45  47  71  50  32  42  35  61 2

  49  44  47  59  53  46  55  59  46  59 2

  51  56  53  48  66  48  35  38  53  55 1

  29  58  56  53  53  59  29  62  44  46 1

  35  65  40  51  56  73  37  46  61  57 2

  55  49  50  45  48  52  54  47  53  47 1

  77  53  34  53  55  56  50  41  61  53 2

  48  36  58  70  55  55  35  49  48  30 2

  57  50  59  47  57  43  62  43  46  64 1

  43  48  50  40  63  43  61  44  50  43 2

  28  50  50  39  40  41  71  52  28  46 1

  47  39  36  39  47  49  57  34  47  40 1

  57  57  53  64  59  37  53  31  53  57 2

  30  42  72  60  50  63  55  47  47  41 1

  33  61  51  44  47  68  46  47  33  64 1

  53  54  45  48  46  47  48  63  36  47 2

  45  41  54  64  42  56  40  41  58  63 1

  53  55  52  61  51  47  66  20  59  54 2

  45  59  50  38  40  30  62  60  59  35 2

  49  65  32  53  63  63  68  31  50  58 1

  44  60  44  27  43  61  37  49  32  55 1

  57  75  52  55  44  52  42  51  56  53 2

  52  37  44  73  29  58  27  39  63  42 2

  51  65  53  45  54  41  43  53  54  47 1

  32  44  75  37  60  76  53  54  42  42 1

  42  35  42  39  60  45  45  47  50  48 2

  37  30  32  56  64  58  39  49  46  59 1

  48  48  64  58  53  53  49  53  53  35 2

  56  37  47  52  46  51  51  60  61  52 1

