05  1  1  0  0  1  0  0
07  1  1  0  0  1  0  0
09  1  1  0  0  1  0  0
08  1  1  0  0  1  0  0
02  1  0  1  0  0  1  0
05  1  0  1  0  0  1  0
07  1  0  1  0  0  1  0
03  1  0  1  0  0  1  0
08  1  0  0  1  0  0  1
11  1  0  0  1  0  0  1
12  1  0  0  1  0  0  1
14  1  0  0  1  0  0  1
11  1 -1 -1 -1 -1 -1 -1
15  1 -1 -1 -1 -1 -1 -1
16  1 -1 -1 -1 -1 -1 -1
10  1 -1 -1 -1 -1 -1 -1
07 -1  1  0  0 -1  0  0
09 -1  1  0  0 -1  0  0
10 -1  1  0  0 -1  0  0
09 -1  1  0  0 -1  0  0
03 -1  0  1  0  0 -1  0
08 -1  0  1  0  0 -1  0
09 -1  0  1  0  0 -1  0
11 -1  0  1  0  0 -1  0
09 -1  0  0  1  0  0 -1
12 -1  0  0  1  0  0 -1
14 -1  0  0  1  0  0 -1
08 -1  0  0  1  0  0 -1
11 -1 -1 -1 -1  1  1  1
14 -1 -1 -1 -1  1  1  1
10 -1 -1 -1 -1  1  1  1
12 -1 -1 -1 -1  1  1  1
