1 01 28 22 48 22 50 14 48
1 21 21 16 40 15 39 11 56
1 15 17 13 35 22 45 01 43
1 30 34 55 54 37 57 57 68
1 11 23 12 33 10 50 08 53
1 16 11 18 34 11 40 05 40
1 07 26 29 40 25 50 14 56
1 00 22 23 45 18 38 15 50
2 01 06 16 08 09 14 11 33
2 37 59 28 36 34 32 26 37
2 18 43 38 50 39 15 29 18
2 01 02 09 08 06 05 05 15
2 44 25 28 42 47 46 33 35
2 15 14 22 32 16 23 32 26
2 00 03 07 17 06 09 10 15
2 26 15 31 32 28 22 16 15
3 33 43 40 52 39 52 38 48
3 04 35 09 42 04 46 23 51
3 32 39 38 47 24 44 16 40
3 17 34 21 41 27 50 13 40
3 44 52 37 48 33 53 33 43
3 12 16 09 39 09 59 13 45
3 18 42 03 62 45 49 60 57
3 13 29 14 44 09 50 15 48
