1 70.00  150
1 67.00  140
1 72.00  180
1 75.00  190
1 68.00  145
1 69.00  150
1 71.50  164
1 71.00  140
1 72.00  142
1 69.00  136
1 67.00  123
1 68.00  155
1 66.00  140
1 72.00  145
1 73.50  160
1 73.00  190
1 69.00  155
1 73.00  165
1 72.00  150
1 74.00  190
1 72.00  195
1 71.00  138
1 74.00  160
1 72.00  155
1 70.00  153
1 67.00  145
1 71.00  170
1 72.00  175
1 69.00  175
1 73.00  170
1 74.00  180
1 66.00  135
1 71.00  170
1 70.00  157
1 70.00  130
1 75.00  185
1 74.00  190
1 71.00  155
1 69.00  170
1 70.00  155
1 72.00  215
1 67.00  150
1 69.00  145
1 73.00  155
1 73.00  155
1 71.00  150
1 68.00  155
1 69.50  150
1 73.00  180
1 75.00  160
1 66.00  135
1 69.00  160
1 66.00  130
1 73.00  155
1 68.00  150
1 74.00  148
1 73.50  155
2 61.00  140
2 66.00  120
2 68.00  130
2 68.00  138
2 63.00  121
2 70.00  125
2 68.00  116
2 69.00  145
2 69.00  150
2 67.00  150
2 68.00  125
2 66.00  130
2 65.50  120
2 66.00  130
2 62.00  131
2 62.00  120
2 63.00  118
2 67.00  125
2 65.00  135
2 66.00  125
2 65.00  118
2 65.00  122
2 65.00  115
2 64.00  102
2 67.00  115
2 69.00  150
2 68.00  110
2 63.00  116
2 62.00  108
2 63.00   95
2 64.00  125
2 68.00  133
2 62.00  110
2 61.75  108
2 62.75  112
