30   99 
27   94 
09   80 
20   70 
03  100 
15  109 
05   62 
10   81 
23   74 
34  121 
20  100 
17   73 
26   88 
16   87 
17   73 
15   65 
38   89 
16   86 
38  186 
15  107 
05   58 
18   89 
08   74 
33  147 
12   82 
22   91 
23   93 
45  131 
08   88 
45  107 
09   63 
45  135 
21   74 
16   82 
17   71 
31  125 
15   66 
22   85 
14   92 
13   74 
37   88 
23   62 
22   91 
15   99 
43  121 
27   96 
21   95 
36  101 
38   87 
12   79 
01   68 
25  102 
20   95 
11   78 
74  117 
39   96 
24   93 
02   61 
03   61 
16   80 
45   81 
24   79 
12   82 
34  112 
43  102 
18   94 
18   99 
34   75 
29  135 
15   81 
06   78 
58  102 
37   86 
13   83 
12  111 
09   72 
20   86 
29  101 
13   80 
36  111 
33   77 
23   84 
22   83 
01   65 
03  100 
15   92 
13  106 
44   70 
11   90 
20   91 
28   99 
14  118 
07   66 
08   77 
09   84 
33  101 
04   64 
22   88 
07   83 
14  105 
24  127 
13   78 
30   70 
19  109 
34  104 
09   86 
27   97
