002 2 1 1 4 2 .  . 42 53 59 57 49 57 47 51 46 51 112  24  66
007 1 2 1 2 . 1 18 65 80 64 71 72 73 63 67 67 72 100  23  73
008 2 2 1 1 4 .  . 52 67 60 62 65 78 60 65 58 65 118  28  64
009 1 2 . . 2 2 15 59 53 74 65 65 64 61 63 68 65  76  19  80
011 2 2 . . 3 .  . 41 58 63 60 52 51 45 43 46 52  82  17  74
012 2 2 . . 3 .  . 41 50 41 49 45 51 45 43 58 44  56  15  72
014 2 1 1 4 . .  . 59 69 63 76 74 57 61 51 68 69  56  16  69
017 2 2 1 4 3 .  . 52 61 49 42 58 51 45 43 64 53  64  12  81
018 1 2 1 1 2 1 15 49 56 41 65 45 62 45 63 64 59 113  32  59
019 2 2 . . 3 .  . 56 65 70 65 62 70 67 74 64 69 107  24  63
020 2 2 . . 2 .  . 62 61 68 70 70 62 67 61 75 68 123  26  80
022 3 1 1 4 3 .  . 73 64 60 68 76 80 68 77 70 80 109  23  52
023 2 1 1 3 3 .  . 55 80 80 73 72 51 70 63 74 73 107  24  61
024 2 2 1 5 3 .  . 49 58 64 61 52 59 56 55 64 58  69  14  80
025 2 2 4 4 3 .  . 56 58 71 60 63 67 63 65 71 65  88  22  59
026 2 2 . . 3 .  . 49 63 60 60 63 55 56 55 58 59  54   9  82
028 2 2 . . 3 .  . 52 69 49 54 52 59 56 55 64 59  84  20  74
029 2 2 2 4 3 .  . 70 72 80 75 70 74 80 74 80 80 108  32  73
033 2 1 2 4 4 .  . 42 53 59 44 59 51 47 51 62 53 110  22  81
034 2 1 2 4 3 .  . 59 61 54 44 55 40 47 42 46 53  73  22  52
035 2 2 2 4 3 .  . 67 65 71 70 66 70 68 74 74 71  96  25  72
036 2 1 2 4 3 .  . 51 72 63 65 68 60 61 59 70 66  86  19  56
037 3 1 1 1 2 .  . 42 47 54 71 49 40 61 64 62 59  66  13  73
038 1 1 1 1 2 1 18 65 60 44 54 55 40 47 42 59 58  83  17  51
039 3 2 2 1 3 .  . 52 56 49 49 63 51 45 55 64 59  66  15  65
040 2 1 4 1 3 .  . 59 69 68 71 59 57 70 56 66 67  88  18  67
041 2 2 3 1 3 .  .  .  .  .  .  .  .  .  .  .  .  37   9  84
042 2 2 3 3 3 .  . 62 74 63 68 65 62 45 61 62 66  85  18  64
043 1 2 2 1 2 2  6 56 66 41 60 69 39 60 43 46 61  63  15  79
044 2 2 1 3 3 .  . 41 58 63 61 55 55 45 43 58 56  71  18  61
046 1 2 . . 3 2  1 52 68 64 68 71 78 63 70 75 71 106  23  62
047 1 2 . . 3 2 12  .  .  .  .  .  .  .  .  .  .  68  26  74
048 1 2 2 5 4 2 10 41 48 41 51 52 65 45 43 46 45  75  17  61
049 1 2 3 1 3 1 10 56 78 76 70 63 55 67 65 75 71 118  34  54
050 3 2 2 1 2 .  . 56 65 41 61 58 62 56 52 59 60  90  16  54
052 2 1 2 1 3 .  . 73 68 80 80 76 71 73 80 78 80 138  30  69
054 3 2 2 1 3 .  . 41 53 60 62 65 51 45 43 64 58  57  13  59
055 2 2 2 4 3 .  . 49 76 68 54 62 51 64 52 64 64  62  15  62
056 3 2 4 1 3 .  . 52 53 55 54 60 59 45 52 58 56  79  14  76
057 2 2 . . 3 .  . 60 53 60 57 60 59 60 63 65 61  48  11  66
058 2 2 1 2 3 .  . 66 74 71 71 69 67 63 71 78 71 100  26  56
060 3 2 1 4 4 .  . 68 56 64 62 66 67 63 61 65 66  96  24  73
062 2 2 1 2 3 .  . 58 66 80 71 69 62 65 63 67 71  76  18  47
063 2 2 . . 3 .  . 62 66 69 71 71 71 45 64 78 71  58  14  67
065 2 2 . . . .  . 52 65 60 54 65 59 45 64 65 61  76  12  72
067 2 2 . . 3 .  . 52 53 41 54 52 55 56 52 58 52  94  20  79
071 1 1 1 1 3 2 15 51 70 59 70 62 57 47 56 46 64 110  19  75
072 2 1 1 3 2 .  . 59 61 63 63 55 57 64 51 62 61  80  18  59
073 1 1 1 1 2 2  1 51 55 71 80 68 64 64 77 77 72  89  29  65
077 1 1 . . 3 1  9 42 64 54 60 49 71 47 56 70 62  79  15  58
078 3 2 2 1 3 .  . 41 38 41 42 38 56 45 43 46 34  72  10  73
079 1 1 2 1 3 2 16 78 70 66 80 68 57 47 67 68 72 118  34  71
080 2 2 . . 2 .  . 52 56 41 57 58 62 45 52 58 55 117  24  76
082 1 1 3 3 2 2 11 76 80 80 71 76 73 73 67 66 80 102  24  75
085 2 1 1 1 3 .  . 64 71 66 73 72 51 68 74 80 74 129  20  74
089 3 2 2 2 2 .  . 41 38 41 42 38 56 45 43 46 34  73  16  79
090 2 1 1 3 . .  . 76 71 71 76 76 71 71 69 78 80 121  21  64
093 1 1 1 1 2 2 14 42 53 44 44 41 40 47 51 46 45  61  15  56
094 2 2 1 1 3 .  . 70 80 68 70 70 67 64 73 80 76 121  30  61
095 1 2 3 5 3 2 17 49 53 41 57 58 51 45 43 58 51  47  15  80
096 2 1 1 4 3 .  . 64 72 66 80 74 71 64 53 77 80  51  10  70
097 2 1 1 4 3 .  . 69 72 66 60 59 64 61 75 62 72  75  16  64
101 1 1 3 1 2 1 17 73 80 80 76 78 64 80 77 78 80  91  17  46
102 2 2 1 1 3 .  . 52 61 68 57 52 51 45 70 62 61  77  19  68
103 2 1 . . 3 .  . 67 70 66 63 62 66 61 64 66 69  77  17  57
104 2 2 2 5 3 .  . 41 53 49 60 62 71 45 64 64 59 104  37  79
105 1 1 2 4 2 1 11 59 74 80 70 65 60 61 63 70 72  81  16  59
106 2 2 1 4 2 .  . 41 53 60 60 62 51 64 70 65 61 115  22  76
108 1 2 . . 3 2 13 49 58 63 60 52 51 45 55 58 57  64  15  81
110 1 2 . . 3 1 14 52 63 68 57 62 55 64 61 65 63  87  21  54
111 2 1 . . . .  . 67 71 59 60 78 73 47 63 46 71  86  15  62
114 1 1 1 5 2 2  9 73 77 71 71 72 76 73 75 77 80  83  23  70
115 1 1 1 1 3 2 13 42 68 59 57 76 60 47 59 58 64 117  23  78
116 1 1 . . 2 1 12 42 55 54 60 41 57 47 51 58 51  61  15  61
117 1 2 . . 3 1 13 63 66 63 62 60 68 56 63 74 66 137  37  84
118 1 2 1 1 3 2 17 41 45 60 49 45 51 45 52 58 48  91  25  75
