01 1 1 07 22 13 14
02 1 1 25 10 17 24
03 1 1 50 36 49 23
04 1 1 16 38 34 24
05 1 1 33 25 24 25
06 1 1 10 07 23 26
07 1 1 13 33 27 24
08 1 1 22 20 21 11
09 1 1 04 00 12 00
10 1 1 17 16 20 10
11 2 1 00 00 00 00
12 2 1 69 56 14 36
13 2 1 05 00 00 05
14 2 1 04 24 00 00
15 2 1 35 08 00 00
16 2 1 07 00 09 37
17 2 1 51 53 08 26
18 2 1 25 00 00 15
19 2 1 59 45 11 16
20 2 1 40 02 33 16
21 1 2 00 06 22 26
22 1 2 00 16 12 15
23 1 2 00 08 00 00
24 1 2 15 14 22 08
25 1 2 27 18 24 37
26 1 2 00 00 00 00
27 1 2 04 27 21 03
28 1 2 26 09 09 12
29 1 2 00 00 14 01
30 1 2 00 00 12 00
31 2 2 15 28 26 15
32 2 2 00 00 00 00
33 2 2 06 00 23 00
34 2 2 00 00 00 00 
35 2 2 25 28 00 16
36 2 2 36 22 14 48
37 2 2 19 22 29 02
38 2 2 00 00 05 14
39 2 2 00 00 00 00
40 2 2 00 00 00 00

