101 2 1 2 .
101 1 2 2 .
104 1 1 4 .
104 2 2 5 .
105 1 1 3 4
105 2 2 5 4
106 2 1 5 3
106 1 2 3 3
107 2 1 3 1
107 1 2 3 2
108 1 1 1 2
108 2 2 4 2
109 2 1 4 3
110 1 1 2 3
110 2 2 2 5
111 2 1 2 2
111 1 2 2 .
112 2 1 5 3
112 1 2 4 4
113 1 1 2 3
113 2 2 3 .
114 2 1 2 2
114 1 2 5 2
115 1 1 2 .
115 2 2 4 .
116 2 1 3 5
117 2 1 3 3
117 1 2 4 2
118 1 1 3 3
119 2 1 2 3
120 2 1 3 2
121 2 1 4 4
122 2 1 2 1
122 1 2 3 3
123 2 1 3 3
123 1 2 4 2
124 1 1 2 .
124 2 2 2 .
125 2 1 1 1
125 1 2 3 1
126 2 1 4 3
127 2 1 2 1
127 1 2 3 .
128 2 1 4 .
129 2 1 4 .
129 1 2 3 .
130 1 1 3 2
130 2 2 3 .
131 2 1 3 .
132 1 1 1 .
132 2 2 5 .
134 1 1 2 .
135 2 1 2 .
135 1 2 3 .
136 2 1 3 .
137 2 1 5 .
138 2 1 2 .
201 2 1 3 .
202 2 1 2 .
204 2 1 1 3
204 1 2 3 3
205 2 1 3 4
205 1 2 1 3
206 2 1 4 .
207 1 1 2 3
207 2 2 4 5
208 2 1 4 2
208 1 2 3 3
209 2 1 4 .
209 1 2 3 3
210 1 1 1 5
210 2 2 3 .
211 2 1 3 2
211 1 2 3 .
212 2 1 3 3
212 1 2 3 4
213 2 1 4 3
214 1 1 2 2
214 2 2 3 2
215 1 1 3 3
215 2 2 3 3
216 1 1 3 2
216 2 2 3 1
217 1 1 5 .
217 2 2 4 4
218 2 1 5 2
218 1 2 3 3
219 2 1 5 4
219 1 2 5 4
220 2 1 3 2
221 2 1 2 2
221 1 2 3 .
222 1 1 1 3
222 2 2 4 4
223 2 1 2 .
223 2 2 . 2
224 2 1 5 3
224 1 2 3 1
225 1 1 3 2
225 2 2 3 .
225 2 2 3 .
227 2 1 5 3
227 1 2 3 3
228 2 2 4 5
229 1 1 4 3
229 2 2 . 4
230 1 1 3 2
230 2 2 4 3
231 1 1 4 .
231 2 2 5 .
232 2 1 2 .
232 1 2 1 .
233 2 1 3 .
233 1 2 3 .
234 1 1 3 .
234 2 2 3 .
235 1 1 4 .
235 2 2 . .
236 2 1 4 .
237 2 1 4 .
237 1 2 2 .
238 2 1 3 .
238 1 2 4 .
239 2 1 1 .
240 2 1 3 .
240 1 2 4 .
241 2 1 4 .
241 1 2 4 .
242 2 1 4 .
304 2 1 2 3
304 1 2 3 4
305 2 1 4 3
305 1 2 3 .
306 2 1 5 3
306 1 2 4 4
307 2 1 4 2
307 1 2 3 4
308 2 1 3 .
308 1 2 2 .
309 2 1 3 3
309 1 2 5 .
310 2 1 1 .
311 2 1 5 5
312 2 1 4 4
313 2 1 4 .
315 2 1 3 3
315 1 2 3 4
316 2 1 2 2
317 1 1 3 1
317 2 2 5 .
318 2 1 2 2
318 1 2 2 3
319 2 1 4 4
319 1 2 3 .
320 1 1 3 3
320 2 2 3 4
321 1 1 4 5
321 2 2 3 5
322 2 1 3 2
323 2 1 3 4
324 2 1 3 1
325 2 1 4 4
325 1 2 4 1
326 2 1 3 .
327 2 1 5 2
328 2 1 3 .
328 1 2 3 .
329 2 1 3 .
329 1 2 3 .
330 2 1 2 .
332 2 1 3 .
332 1 2 2 .
333 2 1 3 .
333 1 2 3 .
401 2 1 4 .
401 1 2 4 .
404 1 1 3 .
404 2 2 4 .

