245.0000   26.5000   Indianapolis  
247.0000   27.5000   New Orleans   
275.0000   31.0000   Chicago       
275.0000   27.5000   Seattle       
280.0000   28.0000   Pittsburgh    
300.0000   33.0000   New York      
310.0000   30.0000   Boston        
340.0000   31.0000   Cleveland     
345.0000   28.5000   Columbus      
360.0000   31.5000   Wash. D.C.    
360.0000   23.0000   Nashville     
380.0000   27.0000   Omaha         
385.0000   25.5000   San Diego     
395.0000   27.0000   Atlanta       
445.0000   21.5000   Ft. Worth     
450.0000   27.5000   Los Angeles   
455.0000   23.5000   Miami         
460.0000   21.0000   Tampa         
490.0000   22.5000   Salt Lake     
510.0000   21.7500   Las Vegas     
515.0000   22.5000   Albuquerque   
515.0000   20.5000   Honolulu      
520.0000   21.0000   Phoenix       
535.0000   23.0000   El Paso       

