11.5000    -2.5000    Ireland       
13.4000    -2.0000    Eng-Wales     
19.8000     6.6000    Austria       
12.5000    -2.2000    New_Zealand   
16.8000     3.0000    Belgium       
19.5000     8.5000    Italy         
11.4000    -5.8000    Finland       
15.4000     1.5000    Switzerland   
18.3000     7.5000    Germany       
13.7000    -5.0000    Netherlands   
13.7000     0.0000    Australia     
15.8000    -1.8000    Denmark       
15.9000     2.0000    Canada        
15.0000    -4.5000    Norway        
14.6000     0.2000    France        
17.1000     4.5000    United_Stat   
14.8000    -4.0000    Sweden        
14.1000    -0.5000    Scotland      

