1 150   44   71   59  132   74
1 335  270  156  160  118  230
1 149   52   91  115   43  154
1 159   31  127  212   71  224
1 159    0   35   75   71   34
1 292  125  184  246  225  170
1 297  187   66   96  209   74
1 170   37   42   66  114   81
2 346  175  177  192  239  140
2 426  329  236   76  102  232
2 359  238  183  123  183   30
2 272   60   82   85  101   98
2 200  271  263  216  241  227
2 366  291  263  144  220  180
2 371  364  270  308  219  267
2 497  402  294  216  284  255
3 282  186  225  134  189  169
3 317   31   85  120  131  205
3 362  104  144  114  115  127
3 338  132   91   77  108  169
3 263   94  141  142  120  195
3 138   38   16   95   39   55
3 329   62   62    6   93   67
3 292  139  104  184  193  122

