105 1 33 3 2 0.350 17 20
106 1 50 2 3 0.375  7 15
107 1 91 3 2 0.275 15  7
108 1 90 3 2 0.200  2  2
109 1 70 3 3 0.375 23 27
111 2 31 2 2 0.000 19 10
112 1 91 2 3 0.175  6 16
113 1 81 3 2 0.000  3  9
114 2 15 1 2 0.125 19 13
116 2  1 1 2 0.875 15  7
117 1 93 3 2 0.175  9 15
118 2 14 1 3 0.150 23 18
120 1 91 2 2 0.425 17 14
121 1 55 3 2 0.692 20 14
122 1 70 2 3 0.025  0  6
123 1 25 2 2 0.450  4 10
125 1 91 2 2 0.125  0  3
126 1 91 3 3 0.225  4  6
127 1 91 3 2 0.000  8  8
128 2 13 2 2 0.650 16 14
129 1 50 2 2 0.250 20 23
135 1 90 3 3 0.025  5 12
138 1 70 3 3 0.100  1  6
139 2 19 3 3 0.100 11 12
149 2 50 3 2 0.025  0  0
204 1 50 3 1 0.125  0  1
205 1 91 3 3 0.718 16 18
206 2 24 1 1 0.100  5 21
207 1 80 3 3 0.125  6  7
208 1 87 2 2 0.175  9 20
209 1 70 2 2 0.525 15 12
211 1 55 2 1 0.325  8  5
212 1 56 3 1 0.300  6 20
214 1 54 2 2 0.150  0 16
215 1 71 3 3 0.350 12 12
217 2 36 1 1 0.100 12  8
218 1 91 2 2 0.050 11 25
219 1 91 2 2 1.225 11 24
220 1 91 2 3 0.075  8 11
221 1 91 2 2 0.333  5 11
222 2 36 2 1 0.175  5  3
223 1 70 2 3 0.175 14  3
224 1 91 2 2 0.425  2 10
225 1 55 2 1 0.175  6 11
229 2 75 2 2 0.400 30 25
232 1 91 3 2 0.150  6  3
233 1 70 2 1 0.000 11  8
234 1 54 3 2 0.100  0  0
237 1 70 3 2 0.175  5 25
241 1 19 2 3 0.325 13  9
304 2 18 2 2 0.256 25  6
305 1 88 3 2 1.350 17 29
306 1 70 2 3 0.625 14 33
307 1 85 2 2 2.650 18 14
308 1 13 2 2 0.225  5  5
309 2 13 2 2 0.225  7 17
311 2  1 2 2 0.500 20 14
315 1 19 2 3 0.175  1 11
316 1 88 2 2 0.375 12 11
318 1 88 3 2 0.025  5  5
319 2 18 2 3 0.300 15 16
321 2 15 2 2 0.625 15 18
322 1 88 3 2 0.400 18 15
325 2 18 2 3 1.000 28 18
329 1 88 3 2 0.025  7 11
332 2  2 2 2 0.050  8  9


