13	1	102	2	4	0
45	2	101	3	6	0
19	2	102	2	7	1
42	2	102	1	2	1
27	1	77	1	1	0
19	1	98	0	6	1
37	1	96	1	6	0
22	1	92	1	2	0
23	1	104	2	3	1
36	2	82	3	4	1
32	1	87	2	5	1
38	2	91	2	4	1
32	1	101	2	3	0
35	2	94	3	4	0
39	2	92	2	3	1
30	1	85	2	5	1
27	1	99	2	6	1
44	2	80	2	3	0
33	1	101	2	2	0
23	1	85	3	3	0
24	1	90	3	3	0
26	1	90	2	3	1
31	2	99	2	3	1
30	1	108	1	4	1
42	1	88	2	5	0
55	2	80	3	4	1
46	2	81	3	4	0
22	1	102	2	5	1
48	1	86	2	1	0
28	1	90	1	4	0
44	1	94	3	3	1
49	1	77	2	3	0
28	2	98	3	3	1
29	2	84	2	2	0
36	2	105	3	5	0
40	1	91	2	3	1
36	2	78	2	3	0
25	2	85	1	3	1
35	2	87	3	4	1
31	2	95	2	4	0
48	2	91	2	5	1
36	1	103	2	3	0
36	2	99	1	5	0
43	1	86	2	3	1
22	1	83	2	6	0
38	2	97	2	6	1
27	1	90	2	4	1
32	2	99	3	3	0
26	1	98	3	6	1
28	2	107	2	6	1
32	2	82	3	3	0
26	1	95	3	5	0
38	1	88	3	3	1
48	2	73	1	3	0
43	1	88	2	5	1
51	1	87	2	4	0
41	2	83	2	4	0
32	2	104	2	2	1
27	1	92	2	7	1
46	2	75	3	5	1
33	2	96	2	3	1
21	2	107	3	5	0
49	2	83	3	5	0
51	2	82	1	3	1
34	1	90	2	6	1
36	2	105	3	5	0
41	2	100	1	4	0
41	2	86	2	4	0
28	1	84	0	3	1
45	1	81	1	3	0
38	1	88	2	3	1
45	2	85	2	3	0
36	1	91	2	0	0
43	1	90	2	4	1
33	2	102	2	5	0
40	1	94	2	3	0
39	1	83	2	2	1
40	1	90	2	5	0
33	2	91	2	4	1
52	1	91	3	3	0
32	2	87	1	2	1
30	1	94	2	4	0
34	2	101	1	6	1
41	1	75	3	1	0
37	1	92	3	5	1
31	1	97	3	2	0
21	2	97	1	5	0
32	1	92	2	5	0
40	2	89	2	3	0
47	2	91	2	4	1
48	2	85	3	5	0
60	2	96	2	5	0
33	1	94	2	6	1
21	1	88	2	4	0
37	2	92	3	3	1
49	2	82	2	5	1
53	2	68	3	4	0
33	1	87	2	1	0
16	1	93	1	3	1
50	2	91	2	5	0
30	2	98	3	3	1
40	2	74	1	1	0
23	2	89	2	3	1
43	2	81	2	4	0
28	2	94	1	5	0
38	2	89	2	4	1
