subj block task isi lagt2 t2in reponset1 reponset2 correct1 correct2
irtrainingretest a training 150 9 1 1 1 True True
irtrainingretest a training 150 9 1 2 1 False True
irtrainingretest a training 150 8 1 4 1 True True
irtrainingretest a training 150 9 0 4 0 True True
irtrainingretest a training 150 9 0 4 1 True False
irtrainingretest a training 150 7 1 4 1 True True
irtrainingretest a training 150 9 1 2 1 True True
irtrainingretest a training 150 9 1 2 1 True True
irtrainingretest a training 150 9 1 1 1 True True
irtrainingretest a training 150 7 1 4 1 True True
irtrainingretest a training 150 7 1 4 0 True False
irtrainingretest a training 150 7 0 3 0 True True
irtrainingretest a training 150 8 1 2 1 True True
irtrainingretest a training 150 7 1 1 1 True True
irtrainingretest a training 150 7 1 4 1 True True
irtrainingretest a training 150 7 0 1 0 True True
irtrainingretest a training 150 8 1 3 1 True True
irtrainingretest a training 150 7 1 4 0 True False
irtrainingretest a training 150 8 1 1 1 True True
irtrainingretest a training 150 8 1 1 1 True True
irtrainingretest a training 150 7 1 4 1 True True
irtrainingretest a training 125 9 1 1 1 True True
irtrainingretest a training 125 9 0 2 0 True True
irtrainingretest a training 125 8 0 3 0 True True
irtrainingretest a training 125 9 1 2 1 True True
irtrainingretest a training 125 8 0 2 0 True True
irtrainingretest a training 125 8 1 4 1 True True
irtrainingretest a training 125 8 1 3 1 True True
irtrainingretest a training 125 7 1 2 1 False True
irtrainingretest a training 125 8 1 2 1 True True
irtrainingretest a training 125 9 1 2 1 True True
irtrainingretest a training 125 9 1 2 1 True True
irtrainingretest a training 125 8 1 4 1 True True
irtrainingretest a training 125 8 1 3 1 True True
irtrainingretest a training 125 9 0 1 1 True False
irtrainingretest a training 125 9 1 3 1 True True
irtrainingretest a training 125 7 0 1 0 True True
irtrainingretest a training 125 9 1 3 1 True True
irtrainingretest a training 125 7 0 1 0 True True
irtrainingretest a training 125 7 1 2 1 True True
irtrainingretest a training 125 9 1 3 1 True True
irtrainingretest a training 125 9 1 3 1 True True
irtrainingretest a training 125 9 1 3 1 True True
irtrainingretest a training 125 7 0 2 0 True True
irtrainingretest a training 125 9 1 4 1 True True
irtrainingretest a training 125 9 0 4 0 True True
irtrainingretest a training 125 9 1 4 1 False True
irtrainingretest a training 125 7 0 4 0 True True
irtrainingretest a training 125 7 1 1 1 False True
irtrainingretest a training 125 7 1 3 1 True True
irtrainingretest a training 125 8 1 2 1 True True
irtrainingretest a training 125 9 1 2 1 True True
irtrainingretest a training 125 8 1 1 1 True True
irtrainingretest a training 125 9 1 4 1 True True
irtrainingretest a training 125 9 1 3 1 True True
irtrainingretest a training 125 9 1 2 1 True True
irtrainingretest a training 125 7 1 2 1 True True
irtrainingretest a training 125 8 1 1 1 True True
irtrainingretest a training 125 9 1 3 1 True True
irtrainingretest a training 125 7 1 4 1 True True
irtrainingretest a training 150 6 1 3 1 True True
irtrainingretest a training 150 6 1 1 1 True True
irtrainingretest a training 150 6 1 1 1 True True
irtrainingretest a training 150 6 1 4 1 True True
irtrainingretest a training 150 6 1 2 1 True True
irtrainingretest a training 150 5 1 2 1 True True
irtrainingretest a training 150 4 1 4 1 True True
irtrainingretest a training 150 4 1 2 1 True True
irtrainingretest a training 150 5 0 4 0 True True
irtrainingretest a training 150 6 1 3 1 True True
irtrainingretest a training 150 6 1 2 1 True True
irtrainingretest a training 150 6 1 2 1 True True
irtrainingretest a training 150 5 1 1 1 True True
irtrainingretest a training 150 5 1 3 1 True True
irtrainingretest a training 150 6 0 4 0 True True
irtrainingretest a training 150 5 1 4 1 True True
irtrainingretest a training 150 5 0 2 0 True True
irtrainingretest a training 150 4 1 4 1 True True
irtrainingretest a training 150 4 0 1 0 True True
irtrainingretest a training 150 4 1 1 1 True True
irtrainingretest a training 150 5 1 2 1 True True
irtrainingretest a training 125 5 1 1 1 True True
irtrainingretest a training 125 6 1 4 1 True True
irtrainingretest a training 125 6 0 4 0 True True
irtrainingretest a training 125 4 1 3 1 True True
irtrainingretest a training 125 6 0 4 0 True True
irtrainingretest a training 125 5 1 1 1 True True
irtrainingretest a training 125 5 1 2 1 True True
irtrainingretest a training 125 6 0 2 0 True True
irtrainingretest a training 125 5 1 3 1 True True
irtrainingretest a training 125 5 1 4 1 True True
irtrainingretest a training 125 4 1 1 1 True True
irtrainingretest a training 125 6 1 1 1 True True
irtrainingretest a training 125 4 1 4 0 True False
irtrainingretest a training 125 4 1 1 1 True True
irtrainingretest a training 125 6 0 2 0 True True
irtrainingretest a training 125 5 1 3 1 True True
irtrainingretest a training 125 5 1 1 1 True True
irtrainingretest a training 125 5 1 3 1 True True
irtrainingretest a training 125 5 1 4 1 True True
irtrainingretest a training 125 5 0 3 0 True True
irtrainingretest a training 125 5 0 3 0 True True
irtrainingretest a training 125 5 1 3 1 False True
irtrainingretest a training 125 5 1 4 1 True True
irtrainingretest a training 125 6 1 1 1 True True
irtrainingretest a training 125 6 0 4 0 True True
irtrainingretest a training 125 6 1 2 1 True True
irtrainingretest a training 125 6 0 2 0 True True
irtrainingretest a training 125 5 1 3 1 True True
irtrainingretest a training 125 4 0 1 0 True True
irtrainingretest a training 125 6 0 2 0 True True
irtrainingretest a training 125 5 1 2 1 True True
irtrainingretest a training 125 5 1 3 1 True True
irtrainingretest a training 125 5 0 4 0 True True
irtrainingretest a training 125 5 0 1 0 True True
irtrainingretest a training 125 6 0 3 0 True True
irtrainingretest a training 125 6 1 1 1 True True
irtrainingretest a training 125 4 0 2 0 True True
irtrainingretest a training 125 5 0 2 0 True True
irtrainingretest a training 125 4 1 4 1 True True
